id,地点名,かな,都道府県,観測期間(開始),観測期間(終了),種別,未確定の理由,参考情報,precNo,blockNo
H429,森,モリ,北海道,1961-01-01,2002-02-28,気象官署,現役観測所と同名（候補は現役側の番号の可能性が高い）,現役の番号: 0145,,
H627,筑波山,ツクバサン,茨城県,1961-01-01,1976-12-31,気象官署,同名の観測所が複数世代あり、どちらの番号か特定不可,候補: 1082,,
H650,亀山,カメヤマ,三重県,1961-01-01,1966-12-31,気象官署,現役観測所と同名（候補は現役側の番号の可能性が高い）,現役の番号: 0503,,
H673,富崎,トミサキ,千葉県,1961-01-01,1968-12-31,気象官署,該当なし（etrn選択ページに同名地点が見当たらない）,,,
H676,新島,ニイジマ,東京都,1961-01-01,1966-12-31,気象官署,現役観測所と同名（候補は現役側の番号の可能性が高い）,現役の番号: 1522,,
H763,防府,ホウフ,山口県,1961-01-01,1966-12-31,気象官署,現役観測所と同名（候補は現役側の番号の可能性が高い）,現役の番号: 0775,,
H816,富江,トミエ,長崎県,1961-01-01,1962-12-31,気象官署,該当なし（etrn選択ページに同名地点が見当たらない）,,,
H821,阿蘇山,アソサン,熊本県,1961-01-01,2017-12-11,気象官署,同名の観測所が複数世代あり、どちらの番号か特定不可,候補: 47821,,
H941,沖永良部,オキノエラブ,鹿児島県,1961-01-01,1969-12-31,気象官署,現役観測所と同名（候補は現役側の番号の可能性が高い）,現役の番号: 47942,,
H963,鳥島,トリシマ,東京都,1961-01-01,1965-12-31,気象官署,該当なし（etrn選択ページに同名地点が見当たらない）,,,
12216,雨竜,ウリュウ,北海道,1974-11-01,2005-11-08,アメダス,現役観測所と同名（候補は現役側の番号の可能性が高い）,現役の番号: 1567,,
12346,和寒,ワッサム,北海道,1975-05-29,1977-10-12,アメダス,現役観測所と同名（候補は現役側の番号の可能性が高い）,現役の番号: 1055,,
12456,瑞穂,ミズホ,北海道,1974-11-01,1984-09-26,アメダス,現役観測所と同名（候補は現役側の番号の可能性が高い）,現役の番号: 0017,,
12511,忠別,チュウベツ,北海道,1977-10-05,1993-01-27,アメダス,該当なし（etrn選択ページに同名地点が見当たらない）,,,
12606,白金,シロガネ,北海道,1974-11-01,1984-10-08,アメダス,現役観測所と同名（候補は現役側の番号の可能性が高い）,現役の番号: 0020,,
14156,手稲山,テイネヤマ,北海道,1974-11-01,2010-03-24,アメダス,現役観測所と同名（候補は現役側の番号の可能性が高い）,現役の番号: 0032,,
17481,白滝,シラタキ,北海道,1976-05-13,1993-01-27,アメダス,現役観測所と同名（候補は現役側の番号の可能性が高い）,現役の番号: 1092,,
17511,仁頃山,ニコロヤマ,北海道,1974-11-01,2005-11-02,アメダス,現役観測所と同名（候補は現役側の番号の可能性が高い）,現役の番号: 0073,,
18036,羅臼,ラウス,北海道,1974-11-01,1991-06-26,アメダス,現役観測所と同名（候補は現役側の番号の可能性が高い）,現役の番号: 0084,,
